镜像,延迟,URL,可用,Port forwarding,地区,注,禁Ping,证书,Port
jp-1.dogge.info,低,https://jp-1.dogge.info,YES,NO,日本,,,,443
aa.qq.gg,低,https://aa.qq.gg,YES,NO,中国香港优刻云,,,过期,"443,80"
ruf.191006.xyz,中,https://ruf.191006.xyz,YES,NO,俄罗斯莫斯科,,,过期,443
5.2.77.64,中,,YES,YES,荷兰弗莱福兰德龙滕,,,,443
204.93.162.135,中,https://204.93.162.135,YES,NO,美国伊利诺伊芝加哥,,,无效,443
119.8.99.227,低,https://119.8.99.227,YES,NO,中国香港华为云,,,无效,443
google.bugbaba.com,低,https://google.bugbaba.com,YES,NO,中国香港华为云,,,,443
18.117.237.19,中,,YES,YES,美国俄亥俄都柏林 亚马逊云,,YES,,443
85.143.217.82,中,,YES,YES,俄罗斯圣彼得堡，语言土耳其,,,,443
85.143.216.129,中,,YES,YES,俄罗斯圣彼得堡,,,,443
85.143.223.79,中,,YES,YES,俄罗斯圣彼得堡,,,,443
136.144.212.50,中,https://136.144.212.50,YES,NO,荷兰南荷兰鹿特丹,不保存cookie,,无效,443
136.144.236.172,中,https://136.144.236.172,YES,NO,荷兰南荷兰鹿特丹,不保存cookie,,无效,443
136.144.243.74,中,https://136.144.243.74,YES,NO,荷兰南荷兰鹿特丹,不保存cookie,,无效,443
koffie-smaaktest.nl,中,https://koffie-smaaktest.nl,YES,NO,荷兰南荷兰鹿特丹,不保存cookie,,无效,443
136.144.215.174,中,https://136.144.215.174,YES,NO,荷兰南荷兰鹿特丹,不保存cookie,,无效,443
136.144.247.46,中,https://136.144.247.46,YES,NO,荷兰南荷兰鹿特丹,不保存cookie,,HSTS,443
85.10.149.228,中,https://85.10.149.228,YES,NO,荷兰南荷兰鹿特丹,不保存cookie,,无效,443
dnshulp.nl,中,https://dnshulp.nl,YES,NO,荷兰北荷兰阿姆斯特丹,不保存cookie,,HSTS,443
46.149.72.94,中,,YES,YES,俄罗斯莫斯科,,YES,,443
46.149.74.224,中,,YES,YES,俄罗斯莫斯科,,,,443
46.149.74.179,中,,NO,YES,俄罗斯莫斯科,443被封,YES,,443
45.14.107.25,低,https://45.14.107.25,YES,NO,美国加利福尼亚洛杉矶,,,无效,443
52.68.92.21,低,https://52.68.92.21,YES,NO,日本东京亚马逊云,,YES,无效,"443,80"
106.75.114.78,低,,YES,YES,中国北京优刻云,128.1.131.171(中国香港Zenlayer；不可直接访问)的中转,,,"443,80"
212.64.116.220,低,,YES,YES,中国上海腾讯云,119.28.143.141(中国香港腾讯云)的中转,,,"443,80"
119.28.143.141,低,,YES,YES,中国香港腾讯云,,,,"443,80"
106.75.167.74,低,,YES,YES,中国广东广州 优刻云,128.1.136.175(中国香港Zenlayer；不可直接访问)的中转,,,"443,80"
s.qxjtguanjia.com,低,https://s.qxjtguanjia.com,YES,NO,中国香港阿里云,,,过期,"443,80"
119.28.4.112,低,,YES,YES,中国香港腾讯云,,,,"443,80"
g.luciaz.me,中、稳定,https://g.luciaz.me,YES,NO,美国加利福尼亚洛杉矶,相对正规,,,"443,80"
note.cm,中,https://note.cm,NO,NO,美国加利福尼亚洛杉矶,被Google检测出异常流量,,HSTS,"443,80"
193.106.174.190,中,,YES,YES,俄罗斯莫斯科,,,,"443,80"
193.106.174.197,中,,YES,YES,俄罗斯莫斯科,,,,"443,80"
193.111.210.151,中,,YES,YES,德国/瑞士,,,,"443,80"
194.87.62.158,中,https://194.87.62.158,YES,NO,俄罗斯托木斯克,,,无效,"443,80"
47.93.191.212,低,,YES,YES,中国北京阿里云,47.75.244.90(中国香港阿里云；不可直接访问)的中转,,,"443,80"
94.241.175.195,中,,YES,YES,俄罗斯图拉,,,,443
185.186.146.235,较低,,YES,YES,美国加利福尼亚洛杉矶,,,,"443,80"
80.66.64.119,中,,YES,YES,俄罗斯莫斯科,,,,"443,80"
80.66.64.196,中,,YES,YES,俄罗斯莫斯科,,,,"443,80"
google.stevenkyo.club,较低,https://google.stevenkyo.club,YES,NO,日本大阪,,,,"443,80"
67.218.141.207,中,https://67.218.141.207,YES,NO,美国加利福尼亚洛杉矶,,,无效,443
123.253.108.131,较低,https://123.253.108.131,YES,NO,日本东京,,,无效,443
go.netis.io,中,https://go.netis.io,YES,NO,澳大利亚新南威尔士悉尼,,,过期,"443,80"
193.219.97.203,中,,YES,YES,英国,,,,"443,80"
go.euqaz.com,低,https://go.euqaz.com,YES,NO,中国香港Cloudinnovation,,,,"443,80"
